message,label
Tienes un admirador secreto que mira 2 hacer contacto con U-Find Out Who They R*revela quién piensa que eres tan especial en 09058094594,spam
Te has vuelto alto pero estás desperdiciando.,ham
¿Estás libre ahora? ¿Puedo llamar ahora?,ham
"¡Felicitaciones! 2 videófonos móviles 3G r suyos. ¡Llame al 09063458130 ahora! VideoChat con sus compañeros, juega Java Games, Dload Polyph Music, Noline Rentl.",spam
Tu equipaje ha sido enviado pronto estará contigo,0
Lo que hace que algunas personas estén más queridas no es solo de felicidad.,ham
¿Cuánto estamos obteniendo?,ham
Desarrollar una memoria extraordinaria con este curso,1
Este es un recordatorio de su próxima cita,0
Dile que dije comer mierda.,ham
¡URGENTE! Su número de móvil ha sido otorgado con un premio de £ 2000 garantizado. Llame al 09058094454 desde la línea fija. Reclamación 3030. Válido solo 12 horas,spam
Encuentra tu mitad naranja con nuestra aplicación de citas,1
Esperar . Msg después de & lt;#& gt;  mínimo,ham
"Aight, saldremos en unos pocos",ham
No te preocupes. Supongo que está ocupado.,ham
"Línea única con un gran significado ::::: ""Se pierda cualquier cosa 4 tu"" mejor vida ""pero no te pierdas tu mejor vida por nada ... gud nyt ...",ham
Por este increíble fondo de pantalla HD,1
"Oye, este SAT, ¿vamos solo por la introducción pilates? ¿O el kickboxing también?",ham
"Cuando amas a alguien, no hagas que te amen tanto como tú. Pero los amo tanto que no quieren ser amados por nadie excepto tú ... Gud nit.",ham
"Oye, ¿qué estás haciendo? Y sin respuesta pa ..",ham
Pruebe nuestro servicio premium gratuito durante un mes,1
Tenemos pizza si quieres,ham
Aproveche las ofertas de último minuto,1
Hola potenciemos juntos tu negocio,0
"Sí, probablemente pero no estoy seguro. ¡Ilol avísate, pero personalmente no me molestaré, luego, de nuevo, si vas a ir, yo también lo mito!",ham
"Hola cariño, estoy en Helens Fone, voy a ir a los príncipes 2 Nite por favor, venga tb Love Kate",ham
Hola cuéntame más sobre el proyecto que mencionaste,0
"Carlos se está tomando su dulce tiempo como siempre, así que avísame cuando tú y Patty hayan terminado/quieran fumar y le diré que lleve el culo",ham
EastEnders TV Quiz. ¿A qué flor se compara Dot? D = Violeta E = Tulip F = Lily txt D E o F a 84025 Ahora 4 Oportunidad 2 Gane £ 100 en efectivo Wkent/150p16+,spam
Estoy en el trabajo. Por favor llame,ham
"¿No podrías leerme, mi amor? Te respondí",ham
Lea nuestro análisis semanal de la industria,0
"Princesa, ¿está tu gatito afeitado o natural?",ham
"¡Correcto, no fuiste tú quien llamó por teléfono, era alguien con un número como el tuyo!",ham
Tus comentarios nos ayuda a crecer,0
Su pago ha sido exitoso,0
Seleccione su método de envío favorito,1
¿A qué hora quieres que aparezca?,ham
No recojas la llamada D cuando hay algo importante para contar. Hrishi,ham
Conozca las actualizaciones de nuestras políticas,0
No sé. Estoy sentado aquí en un estacionamiento de parada y compra en este momento gritando mis ojos porque siento que soy un fracaso en todo. Nadie me quiere y ahora siento que te estoy fallando.,ham
Hemos recibido su solicitud y la estamos procesando,0
Parece pestañas impresionantes con nuestro viaje,1
Suscribete y recibe nuestras promociones,1
"No tengo idea, supongo que lo resolveremos una hora después de que se supone que debemos irnos, ya que, como de costumbre, nadie tiene interés en resolver la mierda antes del último segundo",ham
Asistir a la reunión de accionistas,0
"Altura de la confianza: todos los profesores de aeronáutica fueron llamadas y amp; Se pidieron 2 sentarse en un avión. AFTR se sentaron, le dijeron a ese avión que realizó sus alumnos. Dey todo se apresuró al avión D ... bt solo no se movió ... Dijo: ""Si mis alumnos lo hacen, esto ni siquiera comenzará ..... Datz Confidence ..",ham
Personaliza tu movil con este fondo de pantalla,1
Felices Pascuas disfruta en familia,0
"¿Estás estudiando en Sch o yendo a casa? De todos modos, voy a ir 2 Sch más tarde.",ham
EastEnders TV Quiz. ¿A qué flor se compara Dot? D = Violeta E = Tulip F = Lily txt D E o F a 84025 Ahora 4 Oportunidad 2 Gane £ 100 en efectivo Wkent/150p16+,spam
Aprender diseño gráfico desde cero,1
Este hermano de Wat Wright hizo que volar ...,ham
"""Cha Quiteamuzing esa nena scool, probpop in & cu satthen hunny 4brekkie! Love jen xxx. Psxtra lrg porciones 4 yo por favor""",ham
Feliz Pascua disfruta de la familia,0
Mañana no voy al teatro. . . Entonces puedo venir a donde me llames. . . Dime a dónde y cuándo venir mañana,ham
Canjea tu bono aqui,1
¡Eres elegido para recibir un premio de £ 350! PLS Llame al número de reclamo 09066364311 para recopilar su premio que se seleccione para recibir como cliente móvil valioso.,spam
Reunirse después del almuerzo la ...,ham
"Como si lo hiciera vomitar cuando estábamos fumando en el auto de nuestro amigo una vez, fue increíble",ham
¡Estoy bien! He estado pensando en ti ...,ham
Despierta tu creatividad con nuestros cursos,1
Tengo C ... ¿Flojo para escribir ... Olvidé ü en Lect ... Vi una bolsa pero como no es agradable ...,ham
Estaré en el tuyo en unos 3 minutos pero cuídame,ham
Entrada gratuita de la primera semana 2 TextPod 4 A Oportunidad 2 Gane 40GB iPod o £ 250 en efectivo cada semana. Txt Pod a 84128 TS y CS www.textpod.net custcare 08712405020.,spam
"La fiesta está en mi casa en la USF, sin cargo (pero si puede contribuir de alguna manera, es muy apreciada) y sí, tenemos espacio para uno más",ham
"Muy bien, Tyler tiene una crisis menor y tiene que estar en casa antes de lo que pensó, así que sea aquí lo antes posible",ham
Te invitamos a probar nuestro nuevo producto,0
Boo estoy en camino a mis mamás. Ella está haciendo sopa de tortilla. Yummmm,ham
"De hecho, ¿cuándo te vas? Creo que Addie vuelve a la escuela el martes o el miércoles",ham
Expanda su círculo social con nuestra aplicación,1
Conoce solteras calientes en tu area,1
Por favor verifica tu número celular,0
Probablemente voy a pasar por un poquito,ham
"Llame al 08712402578 inmediatamente, ya que hay un mensaje urgente esperándole",spam
"Estoy de vuelta, déjame saber cuándo estás listo",ham
Reclamar su seguro de desempleo aquí,0
"Soy un chico, la navegación es obligatoria",ham
Último día para aprovechar este descuento,1
Confirme su dirección de correo electrónico para recibir noticias,1
Despierta al artista que llevas por dentro,1
No :-) Tengo rumor de que vas a comprar apartamento en Chennai :-),ham
¿Estaba abierta la granja?,ham
"""Respuesta"" es una de las armas potentes 2 ocupa un lugar en el corazón de los demás '... Entonces, siempre da la respuesta 2 a quién le importa 4 u ""... Gud Night..swt Dreams ...",ham
Desintoxica tu cuerpo con estos jugos,1
Envía esto a tus amigos y recibe algo sobre tu voz ... ¿cómo es mi expresión de habla? 1.Intish 2.Naughty 3.Sentiment 4.Rowndy 5.Ful of Attitude 6.Romantic 7.shy 8.attractive 9.funny & lt;#& gt; .irritating & lt;#& gt; .amable. Respondame ..,ham
"Lol wtf aleatorio. Por cierto, es que tu almuerzo sale",ham
Consulte con el nuerólogo.,ham
Gracias por su compra Reclamar su regalo aquí,0
"Hmmm ... e imagina después de que hayas llegado a casa de tener que frotarme los pies, ¡hazme cenar y ayúdame a prepararme para mi cita! ¿Estás seguro de que estás listo para ese tipo de vida?",ham
LOL ¿Dónde se te ocurren estas ideas?,ham
"Amigo u knw también telugu..thts gud..k, gud nyt ..",ham
"¡Buenas tardes amantes! ¿Cómo va tu día? ¿Alguna suerte viene en tu camino? Pienso en ti, cariño y envía mi amor al otro lado del mar para hacerte sonreír y feliz",ham
Actualice su método de pago,0
Estoy de camino a casa. Fui a Change Batt 4 mi reloj y luego vaya a comprar un poco.,ham
"Oye ... que vamos a acuerdo con lo que discutimos, excepto que no hay kb en el sol ... porque no hay mucha lección por recorrer si asistimos a KB en el sábado ...",ham
Protege a tus seres queridos con un seguro de gastos funerarios,1
Su certificado de impuestos está listo,0
¡Me encanta! Quiero inundar ese bonito coño con semen ...,ham
"De hecho, lo hice por primera vez en mucho tiempo. Me fui a la cama no mucho después de hablar contigo. Me desperté a las 7. ¿Cómo estuvo tu noche?",ham
¿Qué es un Bowa plumoso? ¿Es eso algo que los chicos tienen que no conozco?,ham
Pierde peso sin esfuerzo con este suplemento,1
"Aight, déjame saber qué pasa",ham
Sorprende a tu pareja con este perfume,1
Del 88066 perdió £ 12 ayuda,spam
Haga clic para ver este increíble video,1
Me pregunto qué estás haciendo ahora mismo.,ham
Feliz año nuevo mi hombre No. 1,ham
¿De quién estás hablando?,ham
"Cuando entré en mi cabaña, mi PA dijo: ""¡Feliz B'day Boss!"". Me sentí especial. Ella me pidió 4 almuerzo. Después del almuerzo, me invitó a su departamento. Fuimos allí.",ham
"Este mensaje es gratis. ¡Bienvenido al nuevo y mejorado Club de Sex & Dogging! Para darse de baja de este servicio, la respuesta de la respuesta. Msgs@150p 18 solo",spam
Proteja su hogar con nuestro seguro de desastre,1
Déjalo wif me lar ... ü wan para cargarme tan pesado ... ¿DA NUM 98321561 es familiar para ü?,ham
"Muy bien, te lo traeremos, nos vemos como & lt;#& gt;  mínimos",ham
Confirme la asistencia de su taller,0
Lamentamos los inconvenientes causados ​​por el retraso,0
NVM ... Voy a usar mis zapatos deportivos de todos modos ... voy a llegar tarde leh.,ham
"No tiene clase temprano mañana y, por lo tanto, no debería tratar de fumar en & lt;#& gt;",ham
"Gracias por su pedido de tono de llamada, número de referencia R836. A su móvil se le cobrará £ 4.50. Si su tono no llega, llame al servicio al cliente al 09065069154",spam
Dale a una señorita de ese número por favor,ham
Verifique y firme el acuerdo de confidencialidad,0
"Hola, me gustaría citar sus servicios",0
SplashMobile: ¡Elija entre 1000 de tonos gr8 cada semana! Este es un servicio de suscripción con tonos semanales que cuestan 300p. Tienes un crédito: relájate y disfruta,spam
GR8 NUEVO SERVICIO - Video de sexo en vivo en su mafia - Vea las chicas más sexys más sexys en vivo en su teléfono - 4 Detalles Envíe un mensaje de texto Curryy a 89070 para cancelar la parada de envío a 89070,spam
"Pensé que salimos y nos divierten, así que bar en la ciudad o algo así, ¿suena bien?",ham
"¿Puede preguntarle a Macho cuál es su rango de precios? ¿Quiere algo nuevo o usado, además de que solo interfiere en BlackBerry Bold & lt;#& gt;  o cualquier BB",ham
Aprende a diseñar como un profesional con nuestro tutorial,1
Jus y me lar. No lo hará más tarde.,ham
"No, miércoles. ¿Cuándo debo traer la mini bolsa Cheetos?",ham
Este es un recordatorio de su próxima cita médica.,0
¡Urgente! Llame al 09061743811 desde el campo fijo. Su ABTA Fragmentary 4* Tenerife Holiday o £ 5000 en efectivo en efectivo Collection Sae T & CS Box 326 CW25WX 150ppm,spam
¿Tenía su móvil 11 meses? Actualización de forma gratuita para las últimas últimas cámaras de color móviles y llamadas de fin de semana ilimitadas. Llame a Mobile Upd8 en FreeFone 08000839402 o 2stoptx,spam
Desarrolla habilidades de liderazgo con este seminario,1
Estoy bien. Haré mi parte mañana,ham
"Ok, hablaré con él",ham
De alguien que no fumará cuando cada vez que he fumado en las últimas dos semanas es porque me llama o enviéme un mensaje de texto que querías fumar,ham
"Imagina que finalmente puedes hundirte en ese baño después de que te pusiera a prueba, tal vez incluso haciendo que me comas por un tiempo antes de irme ... pero también imagina la sensación de esa jaula en tu polla rodeada del agua del baño, recordándole siempre quién te posee ... Disfruta, mi Cuck",ham
"Hola, ¿te gustaría colaborar en nuestro proyecto?",0
Escanea este codigo y gana descuentos,1
"Está bien, si alguien me pide, tú los Tels ..:-P",ham
"Por favor, done esta importante causa",0
"Yar quería que 2 te regañen, pero ya tarde ... ¿Dónde tengo zhong te Qing? Si me preguntas, b4, me pide, entonces saldré a todos. No puedes actuar tan real.",ham
"Lo siento antes. Presentar incendios. ¿Estás a tu alrededor para hablar después de las 9? ¡O realmente tienes una vida, jajaja!",ham
Accede a descuentos exclusivos en nuestro sitio web,1
* Tendrá dos cartones más de ti y está muy satisfecho con los estantes,ham
Feliz cumpleaños que este año esté lleno de bendiciones,0
Ya he llegado a Sch ...,ham
¿Estás disponible ahora? Estoy justo alrededor de Hillsborough & amp;  & lt;#& gt; th,ham
Usted es un ganador que ha sido seleccionado especialmente 2 Recibe £ 1000 o 4* Holiday (Flights Inc) Hable con un operador en vivo 2 Reclamación 0871277810910p/min (18+),spam
"Creo que vamos a Finn ahora, ven",ham
Aiyar dun molestar u liao ... que tienes lotes 2 ¿Aft tu armario ven ...,ham
Despierta a tu hijo interior con LEGO,1
Cuando el primer ataque es rojo. El pájaro + antílope comienza Toplay en el campo de la autointependencia cree que esto + la flor de la contienda crecerá. ¡Random!,ham
También sabe sobre el menú del almuerzo solo DA. . Sé,ham
"Aunque te dije que ahora estoy en Baig Face Watches, pero realmente me gusta E Watch You Ded porque es de su parte. Gracias 4 todo lo que has hecho hoy, estoy tocado ...",ham
"Genial, te enviaré un mensaje de texto en unos pocos",ham
¡Yo también bebé! ¡Prometo tratarte bien! Apuesto a que me cuidarás bien ...,ham
Gratis> tono de llamada! Responder Real o Poly Eg Real1 1. Pushbutton 2. Donkha 3. Babygoodbye 4. Golddigger 5. Webeburnin 1er tono gratis y 6 más cuando te unes por £ 3/semanas,spam
"Hola, evaluemos su perfil profesional",0
"Hola, soy tu entrenador de vida personal",1
"Tu amigo, adivina quién acaba de ser arrestado el otro día",ham
Unete a nuestro club de descuentos,0
"Nokia o Motorola gratis con hasta 12 mths 1/2 Price Linerental, 500 Mins de red X gratis y 100TXT/MTH B'Tooth gratis*. Llame a MobileUpd8 al 08001950382 o llame a 2OpTout/D3WV",spam
"Esta oferta expira a la medianoche, ¡hazlo bien!",1
Querido donde estarás cuando llegue allí,ham
"No tenías que decirme eso ... ahora estoy pensando. Además, va a detener todas tus carreras",ham
"No RCV más MSGS del chat svc. Para obtener servicios de servicios hardcore gratuitos, vaya a: 69988 Si no obtienes nada, debes envejecer con la red de YR y vuelva a intentarlo",spam
Disfrute del envío gratis en pedidos superiores a $ 500,1
Estimule su creatividad con nuestro taller de arte,1
"Hola, ¿te gustan las fotos de Hlday se veían horribles en ellas, así que sacó a Mo? ¿Cómo está la cosa del campamento amrca? Habla pronto Serena :)",ham
Destaca tus ojos con nuestro nuevo rímel,1
Kay ... ya que ya estamos fuera,ham
"Claro, si recibo un reconocimiento de ti que es asombrosamente tacto y generalmente esferuente exigir un juramento de sangre para",ham
Felicitaciones con 500 de cupones de CD o 125 Garantizado y entrada gratuita 2 100 wkly dibujan música txt a 87066,spam
Encuentra el amor de tu vida con nuestra aplicación,1
Consigue el cabello de tus sueños con nuestro tratamiento,1
Reciba tu comida favorita en 30 minutos,1
Wif mi paquete de tour de reserva familiar.,ham
"Lo siento, llamaré más tarde",ham
"Mensaje gratuito Active sus 500 mensajes de texto gratuitos respondiendo a este mensaje con la palabra gratuita para términos y condiciones, visite www.07781482378.com",spam
O. Supongo que ambos se atornillaron,ham
"""¡Ninguno! En ninguna parte, IKno, ¿discount! Shitinnit""",ham
Haga clic para ver las fotos de la fiesta,1
"Aiyar duro 2 de tipo. Más tarde libres, entonces dime, entonces llamo a N regañón y te digo.",ham
"¿Qué estás 2, entonces, perra?",ham
"Sí, ok ...",ham
"Sé que tienes dudas con placer, les aclaro",0
Pruebe nuestro servicio premium gratuito durante un mes,1
Su membresía ha sido aprobada,0
"¡Tu factura a las 3 es de £ 33.65, así que eso no está mal!",ham
S :-) Kallis no jugará en los dos primeros ODI :-),ham
Mejora tu vida sexual con este suplemento natural,1
"Sí, deberías. Creo que ahora puedes usar tu cajero automático GT para registrarse. No estoy seguro, pero si hay de alguna manera, puedo ayudarme a informarme. Pero cuando esté seguro de que está listo.",ham
Shuhui dice cambiar 2 suntec sambreboat? ¿No hay dónde? ¿Dónde estás ahora?,ham
¿Cuánto por un octavo?,ham
"Yo, llámame cuando tengas la oportunidad, un amigo mío quería que te pregunte sobre un gran pedido",ham
Wat's Da Model Num de tu teléfono?,ham
Lea nuestro periódico periódico,1
K..K :) ¿Dónde estás? ¿Cómo te desempeñaste?,ham
Recuerda que tienes una tarea pendiente,0
Quiero estar dentro de ti todas las noches ...,ham
K estaré allí antes de las 4.,ham
Trabaja desde casa y genera ingresos extra,1
Descargue este fondo de pantalla inspirador gratis,1
"No sé lei, dice ...",ham
Descubra las 10 claves para el éxito empresarial,1
"Yo también viendo la película Surya solamente. . . Después de las 6 pm, la película Vijay Pokkiri",ham
Fácil ah? Sen recibió seleccionado significa que es bueno ..,ham
"Sí, el maestro dijo que hará que mi cara se viera más larga. Darren me pregunta no 2 cortado demasiado corto.",ham
"Oye, ahora soy libre, puedes llamarme.",ham
"¡Hmm, sí, si no estás demasiado ranurado! Y estoy deseando que llegue mi libra especial :)",ham
Gana el triple con nuestro nuevo plan,1
Lo siento da. Me volví loco tantas obras pendientes qué hacer.,ham
"Hola, esto es yijue, ¿puedo conocerte a las 11 tmr?",ham
Por favor verifica tu información de contacto,0
Su envío está en camino llegará pronto,0
La pureza de la amistad entre dos no se trata de sonreír después de leer el mensaje reenviado ... se trata de sonreír con solo ver el nombre. Gud evng,ham
No PLM vendré da. En el camino.,ham
Si si. Creo que iré a hacer esas trufas oreo.,ham
"Chico, es mejor que tengas un culo aquí rápido",ham
Gana el triple con nuestro nuevo plan,1
Eh tu portátil no tiene stock lei ... él dice Mon Muz Ven de nuevo para echar un vistazo C No tiene ...,ham
El es el famamus ...,ham
"¡Has ganado! Su fiesta de 4* Costa del Sol o la colección de espera £ 5000. Llame al 09050090044 ahora Toclaim. SAE, TC S, POBOX334, Stockport, SK38XH, Costo de £ 1.50/pm, max10mins",spam
"No lo creerás, pero es cierto. ¡Es increíble txts! Responda G ahora para aprender cosas realmente sorprendentes que te dejarán boquiabierto. De O2FWD solo 18p/txt",spam
Manténgase informado con nuestras noticias diarias,1
Mira estos divertidos videos de gatos,1
"Yo, ¿el juego casi termina? Quiero ir a Walmart pronto",ham
"Mamá, te he enviado muchos muchos mensajes desde que llegué aquí. Solo quiero saber que en realidad los está recibiendo. Disfruta el resto de tu día.",ham
Difícil pero cierto: cuánto muestras y amp;  Expresa tu amor a alguien ... ¡Tanto dolerá cuando te dejen o te separan ...!,ham
No te pierdas estos memes divertidos,1
Hola cita nuestros servicios aquí,0
Activa tu nueva tarjeta con este codigo,0
Este es un mensaje de su banco,0
Descargue nuestra guía de viaje gratuita,1
Eso es genial. Me gustaron tus fotos. ¡Eres muy sexy!,ham
"Cómo estás, mi amor ? ¿Estás con tu hermano? ¿Es hora de hablar inglés con él? * sonríe* Di: Hola Muhommad, Penny dice hola desde el otro lado del mar",ham
Un tipo que se acostumbra pero es demasiado tonto para darse cuenta.,ham
Necesito que reafirmes el NDA adjunto,0
"¿Tienes dinero de Hella Gas, ¿quieres hacer una gran aventura de la naturaleza con Galileo en un momento?",ham
Necesitamos verificar tu mayoría de edad para proceder,1
.... Photoshop hace que mi computadora se apague.,ham
Sorprende a tu pareja con este regalo original,1
¿Debería enviarte pix travieso? :),ham
Descarga esta aplicación y obtén un descuento,1
"Sunshine Hols. Para reclamar sus vacaciones médicas, envíe un sobre de dirección propia estampada a las bebidas en US UK, PO Box 113, Bray, Wicklow, Eire. ¡El cuestionario comienza el sábado! Parada de suban",spam
"Sé que tienes dudas con placer, les aclaro",0
"Hola, gracias por recibir esa llamada. ¡Tengo un trabajo! ¡Comienza el lunes!",ham
Ayúdanos a superar esta marca mundial,1
Reciba sus envíos gratuitos por un año,1
Más bajo 2 kilos por semana con nuestra dieta,1
Verifique el estado de Audrey ahora mismo,ham
"Compre hasta que caiga, ¿es usted, ya sea 10k, 5k, £ 500 en efectivo o un cupón de viaje de £ 100, llame ahora, 09064011000. NTT PO Box CR01327BT Costo de línea fija de 150 ppm Varial Varial",spam
Obtenga los derechos de una esposa. No lo demuestre. Estoy intentando como esposo también.,ham
Fracción de sus compras hasta 12 meses,1
Por favor confirma tu número de teléfono,0
"Voy a decir que no. Lo siento. Lo haría, pero como normal estoy empezando a entrar en pánico a tiempo. ¡Lo siento de nuevo! ¿Estás viendo el martes?",ham
El perfil de trabajo parece BPO ..,ham
"Acabo de enviar de nuevo. ¿Gritas y gemes en la cama, princesa?",ham
¿Estás ahí en la habitación?,ham
He estado tratando de alcanzarlo sin éxito,ham
Genera ingresos adicionales en su tiempo libre,1
Sí ... es realmente genial ... Bhaji le dijo a Kallis Best Cricketer después de Sachin en el mundo :). Muy difícil de salir.,ham
No te pierdas estos videos virales,1
Confirmamos el despacho de tu orden,0
Obtenga reembolso en todas sus compras,1
"¡BIEN HECHO! Su fiesta de 4* Costa del Sol o la colección de espera £ 5000. Llame al 09050090044 ahora Toclaim. SAE, TCS, POBOX334, Stockport, SK38XH, Costo de £ 1.50/pm, max10mins",spam
Cuántas veces le dije en el escenario que todos solían reír. No escuchas aha.,ham
Tu ordenador tiene un virus,1
Y Popping & lt;#& gt; Ibuprofens no fue de ayuda.,ham
Agradecemos su fidelidad Disfruta de este regalo,0
X2 & lt;#& gt; . Vas a conseguir eso,ham
¿Estarás aquí por comida?,ham
"Hola, lo siento, no he señalado. ¡No he visto ni escuchado y ninguno de los dos, lo cual es inusual en sí mismo! ¡Poneré el caso y haré que lo resuelvan! Abrazos y bocadillos.",ham
"Solo por 24 horas, todo a mitad de precio",1
Llama a los tiempos de trabajo hoy ok umma y les pides que aceleren,ham
Aumente su libido con este producto revolucionario,1
"(Sin embargo, no hay promesas sobre cuándo, ni siquiera he cenado)",ham
Comienza tu dia con pensamientos positivos,1
"¿Me fumaría, ayúdanos a ayudar a trabajar en este momento difícil?",ham
Ee msg na poortiyagi Odalebeku: Hanumanji 7 Nombre 1-Hanuman 2-Bajarangabali 3-Maruti 4-Pavanaputra 5-Sankatmochan 6-Ramaduth 7-Mahaveer Ee 7 Name & Lt;#& gt;  Janarige Ivatte Kalisidare el próximo sábado Olage Ondu Good News Keluviri ...! Maretare Inde 1 Dodda Problum Nalli Siguviri Idu Matra & lt;#& gt; % Verdadero ... no loglet.,ham
No lo he enviado. Él puede enviarme.,ham
Gana un fin de semana de spa en nuestro concurso,1
¡Las amas de casa aburridas! ¡Chat y la fecha ahora! 0871750.77.11! ¡BT-National Tasa 10p/min solo de teléfonos fijos!,spam
Muy bien tomó la morfina. De vuelta en yo.,ham
"Sí, creo que sí. Estoy en la oficina, pero mi regazo está en la habitación, creo que eso está en los últimos días. No me cerré",ham
Precios de locura de liquidación total,1
¿Yo? Pensé que lo puse de vuelta en la caja,ham
Sí ... es realmente genial ... Bhaji le dijo a Kallis Best Cricketer después de Sachin en el mundo :). Muy difícil de salir.,ham
Bienvenido a nuestro grupo selecto,0
"URGENTE. Información importante para el usuario 02. ¡Hoy es tu día de suerte! 2 Descubra por qué, inicie sesión en http://www.urawinner.com ¡Hay una fantástica sorpresa que te espera!",spam
Okie ...,ham
"Wan2 Gana un encuentro+Greet with Westlife 4 u o un m8? ¿Están actualmente en qué gira? 1) Unbreakable, 2) Untomed, 3) Unkempt. Texto 1,2 o 3 a 83049. Costo 50p +STD Texto",spam
Invierte a largo plazo con nuestros fondos,1
Hola hombre hermoso. Mi número de móvil es. Que tengas una buena nena. Mwahs blandos.,ham
